Index,Date,MaxTemp
398,2019-02-03,35
399,2019-02-04,30
400,2019-02-05,24
401,2019-02-06,25
402,2019-02-07,28
403,2019-02-08,30
404,2019-02-09,29
405,2019-02-10,24
406,2019-02-11,29
407,2019-02-12,40
408,2019-02-13,43
409,2019-02-14,44
410,2019-02-15,28
411,2019-02-16,27
412,2019-02-17,26
413,2019-02-18,31
414,2019-02-19,36
415,2019-02-20,29
416,2019-02-21,29
417,2019-02-22,37
418,2019-02-23,35
419,2019-02-24,35
420,2019-02-25,36
421,2019-02-26,33
422,2019-02-27,38
423,2019-02-28,35
424,2019-03-01,38
425,2019-03-02,41
426,2019-03-03,39
427,2019-03-04,38
428,2019-03-05,39
429,2019-03-06,39
430,2019-03-07,34
431,2019-03-08,30
432,2019-03-09,28
433,2019-03-10,39
434,2019-03-11,46
435,2019-03-12,42
436,2019-03-13,40
437,2019-03-14,51
438,2019-03-15,52
439,2019-03-16,55
440,2019-03-17,56
441,2019-03-18,57
442,2019-03-19,56
443,2019-03-20,41
444,2019-03-21,41
445,2019-03-22,37
446,2019-03-23,36
447,2019-03-24,46
448,2019-03-25,45
449,2019-03-26,41
450,2019-03-27,42
451,2019-03-28,37
452,2019-03-29,44
453,2019-03-30,52
454,2019-03-31,57
455,2019-04-01,52
456,2019-04-02,41
457,2019-04-03,45
458,2019-04-04,43
459,2019-04-05,37
460,2019-04-06,45
461,2019-04-07,51
462,2019-04-08,50
463,2019-04-09,45
464,2019-04-10,54
465,2019-04-11,45
466,2019-04-12,53
467,2019-04-13,55
468,2019-04-14,50
469,2019-04-15,44
470,2019-04-16,49
471,2019-04-17,62
472,2019-04-18,69
473,2019-04-19,67
474,2019-04-20,53
475,2019-04-21,57
476,2019-04-22,65
477,2019-04-23,73
478,2019-04-24,72
479,2019-04-25,72
480,2019-04-26,70
481,2019-04-27,68
482,2019-04-28,65
483,2019-04-29,61
484,2019-04-30,46
485,2019-05-01,56
486,2019-05-02,61
487,2019-05-03,62
488,2019-05-04,64
489,2019-05-05,64
